Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.98029533,77.57745373,Malleshwaram,205000,8070,8486,10527,10278,13855,12769,11618,44973
0,12.98005445,77.57441116,Rajajinagar,482300,8780,9160,10665,10930,13176,14298,13236,44780
0,12.98653943,77.57641261,Malleshwaram,162500,17882,18693,18957,20506,24129,23275,20552,42059
0,12.9870787,77.57669455,Malleshwaram,204300,13647,13460,17086,17519,21582,22277,20118,42583
0,12.98679124,77.57834986,Malleshwaram,278600,13249,14950,17581,18075,21120,20615,18082,42446
0,12.987336,77.57807911,Malleshwaram,162500,10284,10737,12826,12917,16392,16424,14345,43348
0,12.98544992,77.57695413,Malleshwaram,205000,18982,19295,21472,21986,24949,24594,21720,41700
0,12.98436042,77.57749565,Malleshwaram,162500,15140,15106,17836,18493,22053,21932,18963,41376
0,12.98409215,77.57721651,Malleshwaram,344500,17803,18504,19475,20664,23996,23082,20332,41291
0,12.98408393,77.57804555,Malleshwaram,163000,13245,13819,15716,16764,21157,20782,17994,41171
0,12.98434396,77.57915374,Malleshwaram,482300,16464,15991,17064,17102,19301,17544,15039,40651
0,12.98541701,77.58027033,Malleshwaram,203000,19323,19951,20532,21312,24631,22352,19921,41435
0,12.98542524,77.57944128,Malleshwaram,278600,17479,17552,17605,18197,20690,18591,16192,40869
0,12.9867638,77.58111337,Malleshwaram,205000,8715,9455,12255,12940,18472,17362,15504,43429
0,12.98675556,77.58194242,Malleshwaram,163000,6565,6922,11589,12184,16419,16204,14309,43187
0,12.98702932,77.58166887,Malleshwaram,390040,13057,14215,15173,16233,21283,19568,17206,42950
0,12.98756583,77.58222717,Malleshwaram,205000,20178,20582,21172,21866,24279,22726,19898,41376
0,12.98865534,77.58168567,Malleshwaram,162500,18725,19305,19001,20089,23316,21483,19170,40881
0,12.92833041,77.62444444,Koramangala,156030,7719,8063,9265,9044,11960,10384,9401,43523
0,12.92805942,77.6244416,Koramangala,204300,7683,8063,9134,9377,10969,10392,9506,43444
0,12.92778564,77.62471504,Koramangala,205000,7704,7835,8818,8454,10543,9700,9114,43436
0,12.9275202,77.62415966,Koramangala,278600,7529,7913,9100,9030,10699,10013,9240,43261
0,12.92697821,77.62415399,Koramangala,344500,7722,8063,9437,9124,11092,9853,9190,42713
